Related service quality,Service improvement programs,Objective,City,Period,Investments,Reference,program_idx,program_name,program_category,Positive_mean,Positive_count,Neutral_mean,Negative_mean,sentiment_ratio,feedback_volume,normalized_sentiment,category,cat_信息服务,cat_发车频率,cat_可靠性,cat_可靠性-服务时间,cat_拥挤度,cat_票价,cat_舒适度-温度,cat_配套设施,cat_配套设施-卫生间,cat_配套设施-票务服务,has_tech,has_facility,has_payment,has_schedule,has_discount
舒适度-温度,同一车厢不同温度模式,,深圳,2020-01-01至2021-12-31,不适用,https://www.szmc.net/SMARTC/upload/file/20210630/1625040793049090587.pdf,0,同一车厢不同温度模式,舒适度-温度,0.4313559767,100,0.3268903821,0.67511019355,0.6389415843830729,100,0.4110419693196931,舒适度-温度,False,False,False,False,False,False,True,False,False,False,0,1,0,0,0
信息服务,智能动态地图显示系统,,深圳,2020-01-01至2021-12-31,不适用,https://www.szmc.net/SMARTC/upload/file/20210630/1625040793049090587.pdf,1,智能动态地图显示系统,信息服务,0.5699581673499999,100,0.3896117166,0.47009169382,1.2124404128872763,100,0.7799835026814869,信息服务,True,False,False,False,False,False,False,False,False,False,1,0,0,0,0
信息服务,车厢拥挤度智能显示系统,智能拥挤度系统将在5条线路上推出：6、7、9、10和11号线,深圳,2020-01-01至2021-12-31,不适用,https://www.szmc.net/SMARTC/upload/file/20210630/1625040793049090587.pdf,2,车厢拥挤度智能显示系统,信息服务,0.4559392500999999,100,0.3575273835,0.6068745197100001,0.7512908110195073,100,0.4833181343039674,信息服务,True,False,False,False,False,False,False,False,False,False,1,1,0,0,0
配套设施-票务服务,实现BOM第三方支付,,深圳,2020-01-01至2021-12-31,不适用,https://www.szmc.net/SMARTC/upload/file/20210630/1625040793049090587.pdf,3,实现BOM第三方支付,配套设施-票务服务,0.494854133,100,0.388684741,0.54844669887,0.9022830003710112,100,0.5804539732912823,配套设施-票务服务,False,False,False,False,False,False,False,False,False,True,0,0,1,0,0
配套设施-票务服务,"成功推出""深圳通""乘车码",,深圳,2020-01-01至2021-12-31,不适用,https://www.szmc.net/SMARTC/upload/file/20210630/1625040793049090587.pdf,4,"成功推出""深圳通""乘车码",配套设施-票务服务,0.5832788149,100,0.4199960459999999,0.42695439776,1.3661384399836378,100,0.8788600530303573,配套设施-票务服务,False,False,False,False,False,False,False,False,False,True,0,0,1,0,0
配套设施-卫生间,完成82个站点卫生间改造,,深圳,2020-01-01至2021-12-31,不适用,https://www.szmc.net/SMARTC/upload/file/20210630/1625040793049090587.pdf,5,完成82个站点卫生间改造,配套设施-卫生间,0.3307740967,100,0.4126308534,0.71157456144,0.46484811940244,100,0.2990446875017903,配套设施-卫生间,False,False,False,False,False,False,False,False,True,False,0,1,0,0,0
拥挤度,在高新园站安装钢梯,提高通行率近33%，有效解决乘客流量积压问题,深圳,2020-01-01至2021-12-31,不适用,https://www.szmc.net/SMARTC/upload/file/20210630/1625040793049090587.pdf,6,在高新园站安装钢梯,拥挤度,0.38665757035,100,0.3345954557,0.68866436765,0.5614601081647816,100,0.3611968201714902,拥挤度,False,False,False,False,True,False,False,False,False,False,0,0,0,0,0
票价,实施免费乘车和优惠乘车,优惠金额达2.3亿元，惠及2.7亿乘客_共有3068万老年人、残疾人和军人享受到约1.3亿元的免费乘车,深圳,2020-01-01至2021-12-31,不适用,https://www.szmc.net/SMARTC/upload/file/20210630/1625040793049090587.pdf,8,实施免费乘车和优惠乘车,票价,0.25966159716,100,0.4117649699999999,0.7909949227999999,0.3282721414201219,100,0.211183042049774,票价,False,False,False,False,False,True,False,False,False,False,0,0,0,0,1
人员,"启动""侧门手持机""项目",安保人员使用手持机在边境口岸记录乘客身份信息，通过OCR（光学字符识别）技术自动记录并上传相关信息，记录边境口岸人群动向，实现实名登记,深圳,2020-01-01至2021-12-31,不适用,https://www.szmc.net/SMARTC/upload/file/20210630/1625040793049090587.pdf,9,"启动""侧门手持机""项目",人员,0.25741516497,100,0.3559486591999999,0.8260030259,0.3116394939225851,100,0.2004829775219832,人员,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0
配套设施,"实施""宜年卡""入境",免费使用城市公交和地铁,深圳,2021-04-08至今,不适用,https://www.szmc.net/SMARTC/upload/file/20210630/1625040793049090587.pdf,10,"实施""宜年卡""入境",配套设施,0.56616713826,100,0.29967337,0.50923773436,1.111793372837046,100,0.7152355530103295,配套设施,False,False,False,False,False,False,False,True,False,False,0,0,0,0,0
发车频率,7号线压缩地铁行车间隔,工作日早晚高峰期间行车间隔压缩至3分35秒，周末高峰行车间隔压缩至4分钟,深圳,2021-08-23至今,不适用,http://jtys.sz.gov.cn/jtzx/wycx/dtcx/cxtx/content/post_9103559.html,11,7号线压缩地铁行车间隔,发车频率,0.3046260851,100,0.3710905363,0.76124055975,0.4001705915407905,100,0.2574365357195723,发车频率,False,True,False,False,False,False,False,False,False,False,0,0,0,1,0
可靠性-服务时间,延长工作日和周末服务时间,运营时间均延长至23时30分，并首次推出'半程末班车'服务,深圳,2021-08-23至今,不适用,http://jtys.sz.gov.cn/jtzx/wycx/dtcx/cxtx/content/post_9103559.html,12,延长工作日和周末服务时间,可靠性-服务时间,0.4009870943,100,0.3524850048999999,0.67521112242,0.5938692076973444,100,0.38204614414937,可靠性-服务时间,False,False,False,True,False,False,False,False,False,False,0,0,0,1,0
配套设施-票务服务,市民可使用数字人民币乘坐公交地铁,数字人民币使用方便，不需要市民绑定任何银行账户，能够做到可控匿名；数字人民币支持双离线支付，即使没有网络，也可以实现转账或支付功能，有效缓解绿色出行排队支付拥堵问题,深圳,2021-07-23至今,不适用,http://jtys.sz.gov.cn/jtzx/wycx/dtcx/cxtx/content/post_9039193.html,13,市民可使用数字人民币乘坐公交地铁,配套设施-票务服务,0.51955737486,100,0.3467736526,0.53946978757,0.9630889195858512,100,0.6195714534980132,配套设施-票务服务,False,False,False,False,False,False,False,False,False,True,1,0,0,0,0
